title;author;soldBy;stars;price;isKindleUnlimited;isBestSeller;Genre;publishedYear
Good Bad Girl: A Novel;Alice Feeney;Macmillan;4;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Salthouse Place: A Novel;Jamie Lee Sogn;Amazon.com Services LLC;3.8;4.99;TRUE;FALSE;Mystery, Thriller & Suspense;2023
The Secret History (Vintage Contemporaries);Donna Tartt;Random House LLC;4.2;12.99;FALSE;FALSE;Mystery, Thriller & Suspense;2011
The Rose Code: A Novel;Kate Quinn;HarperCollins Publishers;4.6;15.99;FALSE;FALSE;Mystery, Thriller & Suspense;2021
The September House;Carissa Orlando;Penguin Group (USA) LLC;4.2;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
I Have Some Questions for You: A Novel;Rebecca Makkai;Penguin Group (USA) LLC;3.9;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The House at the End of the World;Dean Koontz;Amazon.com Services LLC;4.4;2.99;TRUE;FALSE;Mystery, Thriller & Suspense;2023
The Alice Network: A Reese's Book Club Pick;Kate Quinn;HarperCollins Publishers;4.6;10.99;FALSE;FALSE;Mystery, Thriller & Suspense;2017
The Paris Apartment: A Novel;Lucy Foley;HarperCollins Publishers;4.1;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2022
Watching You: A Novel;Lisa Jewell;Simon and Schuster Digital Sales Inc;4.3;12.99;FALSE;FALSE;Mystery, Thriller & Suspense;2018
The Ferryman: A Novel;Justin Cronin;Random House LLC;4.3;13.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
A Gentleman in Moscow: A Novel;Amor Towles;Penguin Group (USA) LLC;4.6;10.99;FALSE;FALSE;Mystery, Thriller & Suspense;2016
The Maid's Diary: A Novel;Loreth Anne White;Amazon.com Services LLC;4.5;4.99;TRUE;FALSE;Mystery, Thriller & Suspense;2023
Hemlock;Kiersten Modglin;Amazon.com Services LLC;4.5;6.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The Enchanters: A novel;James Ellroy;Random House LLC;4.3;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Broadway Butterfly: A Thriller;Sara DiVello;Amazon.com Services LLC;4.3;4.99;TRUE;FALSE;Mystery, Thriller & Suspense;2023
Just Another Missing Person: A Novel;Gillian McAllister;HarperCollins Publishers;4.1;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The Last Flight: A Novel;Julie Clark;Amazon.com Services LLC;4.4;9;TRUE;FALSE;Mystery, Thriller & Suspense;2020
THAT SIK LUV;Jescie Hall;Amazon.com Services LLC;4.4;5.99;TRUE;TRUE;Mystery, Thriller & Suspense;2023
One By One: An unputdownable psychological thriller;Freida McFadden;Amazon.com Services LLC;4.3;3.99;TRUE;FALSE;Mystery, Thriller & Suspense;2020
The House Across the Lake: A Novel;Riley Sager;Penguin Group (USA) LLC;3.9;12.99;FALSE;FALSE;Mystery, Thriller & Suspense;2022
The It Girl;Ruth Ware;Simon and Schuster Digital Sales Inc;4.2;13.99;FALSE;FALSE;Mystery, Thriller & Suspense;2022
The Love of My Life: A Novel;Rosie Walsh;Penguin Group (USA) LLC;4.3;12.99;FALSE;FALSE;Mystery, Thriller & Suspense;2022
The Drowning Woman;Robyn Harding;Hachette Book Group;4.3;13.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The Stand;Stephen King;Random House LLC;4.6;9.99;FALSE;FALSE;Mystery, Thriller & Suspense;2008
Stolen Hearts: A Dark Best Friend's Older Brother Mafia Romance;Jagger Cole;Amazon.com Services LLC;4.5;4.99;TRUE;FALSE;Mystery, Thriller & Suspense;2023
Quantum Radio;A.G. Riddle;Amazon.com Services LLC;4.3;10.49;TRUE;FALSE;Mystery, Thriller & Suspense;2023
The House in the Pines: A Novel;Ana Reyes;Penguin Group (USA) LLC;3.5;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Birnam Wood: A Novel;Eleanor Catton;Macmillan;3.9;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Want to Know a Secret?: A jaw-dropping psychological suspense thriller;Freida McFadden;Amazon.com Services LLC;4.3;3.99;TRUE;FALSE;Mystery, Thriller & Suspense;2021
Drowning: The Rescue of Flight 1421 (A Novel);T. J. Newman;Simon and Schuster Digital Sales Inc;4.5;12.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Pen Pal;J.T. Geissinger;Amazon.com Services LLC;4.5;5.99;TRUE;FALSE;Mystery, Thriller & Suspense;2022
Just One Look;Harlan Coben;Penguin Group (USA) LLC;4.3;8.99;FALSE;FALSE;Mystery, Thriller & Suspense;2005
Come Sundown: A Novel;Nora Roberts;Macmillan;4.5;8.99;FALSE;FALSE;Mystery, Thriller & Suspense;2017
Keep It in the Family;John Marrs;Amazon.com Services LLC;4.3;3.99;TRUE;FALSE;Mystery, Thriller & Suspense;2022
The Quiet Tenant: A novel;Clémence Michallon;Random House LLC;4.2;13.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Then She Was Gone: A Novel;Lisa Jewell;Simon and Schuster Digital Sales Inc;4.5;12.99;FALSE;FALSE;Mystery, Thriller & Suspense;2018
Never: A Novel;Ken Follett;Penguin Group (USA) LLC;4.3;12.99;FALSE;FALSE;Mystery, Thriller & Suspense;2021
The Ghost Illusion;Kat Martin;Amazon.com Services LLC;4.3;9.41;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The Wife Upstairs: A twisted psychological thriller that will keep you guessing;Freida McFadden;Amazon.com Services LLC;4.5;3.99;TRUE;FALSE;Mystery, Thriller & Suspense;2020
The Last Mrs. Parrish: A Reese's Book Club Pick;Liv Constantine;HarperCollins Publishers;4.3;1.99;TRUE;FALSE;Mystery, Thriller & Suspense;2017
The Other Emily (A riveting psychological thriller!);Barbara Freethy;Amazon.com Services LLC;4.6;7.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Little Secrets: A Novel;Jennifer Hillier;Macmillan;4.5;9.99;TRUE;FALSE;Mystery, Thriller & Suspense;2020
Twenty Years Later: A Riveting New Thriller;Charlie Donlea;Amazon.com Services LLC;4.5;8.21;TRUE;FALSE;Mystery, Thriller & Suspense;2021
The Last Ranger: A novel;Peter Heller;Random House LLC;4.3;13.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Ordinary Grace: A Novel;William Kent Krueger;Simon and Schuster Digital Sales Inc;4.5;13.99;FALSE;FALSE;Mystery, Thriller & Suspense;2013
The Whispers: A Novel;Ashley Audrain;Penguin Group (USA) LLC;4.2;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Those Empty Eyes: A Chilling Novel of Suspense with a Shocking Twist;Charlie Donlea;Amazon.com Services LLC;4.5;9.41;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Dark Matter: A Novel;Blake Crouch;Random House LLC;4.4;12.99;FALSE;FALSE;Mystery, Thriller & Suspense;2016
Playground;Aron Beauregard;Amazon.com Services LLC;4.1;5.99;FALSE;FALSE;Mystery, Thriller & Suspense;2022
North of Nowhere: A Thriller;Allison Brennan;Macmillan;4.5;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The Shallows;Holly Craig;Amazon.com Services LLC;4;4.99;TRUE;FALSE;Mystery, Thriller & Suspense;2023
The Family Across the Street: A totally unputdownable psychological thriller with a shocking twist;Nicole Trope;Amazon.com Services LLC;4.2;3.99;FALSE;FALSE;Mystery, Thriller & Suspense;2021
Just the Nicest Couple: A Novel;Mary Kubica;Harlequin Digital Sales Corp.;4;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The Quarry Girls: A Thriller;Jess Lourey;Amazon.com Services LLC;4.3;2.49;TRUE;FALSE;Mystery, Thriller & Suspense;2022
What Lies Between Us;John Marrs;Amazon.com Services LLC;4.2;3.99;TRUE;FALSE;Mystery, Thriller & Suspense;2020
Strange Sally Diamond;Liz Nugent;Simon and Schuster Digital Sales Inc;4.3;12.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
To Die For;Lisa Gray;Amazon.com Services LLC;4.2;5.99;TRUE;FALSE;Mystery, Thriller & Suspense;2023
All the Dangerous Things: A Novel;Stacy Willingham;Macmillan;4.3;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Murder in the Family: A Novel;Cara Hunter;HarperCollins Publishers;3.9;11.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
Do Not Disturb: An addictive psychological thriller;Freida McFadden;Amazon.com Services LLC;4.3;3.99;TRUE;FALSE;Mystery, Thriller & Suspense;2021
It: A Novel;Stephen King;Simon and Schuster Digital Sales Inc;4.7;12.99;FALSE;FALSE;Mystery, Thriller & Suspense;2016
Behind Closed Doors: A Novel;B.A. Paris;Macmillan;4.2;9.99;TRUE;FALSE;Mystery, Thriller & Suspense;2016
The Spectacular: A Novel;Fiona Davis;Penguin Group (USA) LLC;4.4;14.99;FALSE;FALSE;Mystery, Thriller & Suspense;2023
The Silent Bride;Shalini Boland;Amazon.com Services LLC;4.1;4.99;TRUE;FALSE;Mystery, Thriller & Suspense;2023
The Ex: A mind-bending psychological thriller;Freida McFadden;Amazon.com Services LLC;4.2;3.99;TRUE;FALSE;Mystery, Thriller & Suspense;2019
